respo,project,samptype,date8,night,nights,tele_7,survlgth,times,intrace,intgend,s_samptype,s_market,intro3,cell1,qs1,qa1,q921,q1half,dcdir,dcdirnew,q1aq1bnet,mainproblem,bowserappfull,bowsernet,q4_half,h_qord_q4a_q4f_q4a,h_qord_q4a_q4f_q4b,h_qord_q4a_q4f_q4c,h_qord_q4a_q4f_q4d,h_qord_q4a_q4f_q4e,h_qord_q4a_q4f_q4f,bowsercrime,q4anet,bowserhomeless,q4bnet,bowserpandemic,q4cnet,bowserhousing,q4dnet,bowserschools,q4enet,bowsersaferoads,q4fnet,regvoter,regparty,chancevote,h_aord_q7_1,h_aord_q7_2,h_aord_q7_3,q7,h_aord_q8_1,h_aord_q8_2,h_aord_q8_3,q8,mayor22,h_qord_q9a_q9d_q9a,h_qord_q9a_q9d_q9b,h_qord_q9a_q9d_q9c,h_qord_q9a_q9d_q9d,bowserfav,robertwhitefav,trayonwhitefav,mendfav,bowserrestrictions,vaccinemandate,vaccine,ratedcps,ratedcpsnet,parents,kidschool,q15,q14q15net,rateyourdcps,q16net,schoolspandemic,q17net,h_aord_q18_1,h_aord_q18_2,remoteschool,ratepolice,q13bnet,hoodsafe,q19net,crimevictim,q20net,q21_half,h_qord_q21a_q21d_q21a,h_qord_q21a_q21d_q21b,h_qord_q21a_q21d_q21c,h_qord_q21a_q21d_q21d,morepolice,q21anet,violenceinterruptors,q21bnet,econopportunity,q21cnet,gunsentences,q21dnet,homelesscamps,leavedc,leavedcwhere,leavedcfull,leavedcreason,affordhood,q24net,commandersname,q28net,choosename,h_aord_q30_1,h_aord_q30_2,fundfootballstadium,quad,quad2,q909,q909a,edubreak,colleduc,educnew,q910,q910a,agebreak,q918,racenet,income,income2,q29x,l1,c1,phonstat,q924,sex,lang,SITE,INT_Location,weight,allresp,white,age3anew,age50,college,income50,income3,income75,income4,racesex,raceeduc,raceinc,wardnew,kidschoolnet,survey,livedc,wardnew2
200934,29242-1001,NON-DC AREA CELL PHONE,20220205,4th night,13,1640,15.8177833333333,3,White,Female,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1b, ,Wrong track,wrong track NET,Crime/violence/guns,(VOL) DK/No Opinion,DK/No opinion,Q4D-Q4F, , , ,3,2,1, , , , , , ,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,DK/No opinion,Not-so-good job,Not-so-good/poor job NET,"Yes, registered",Democrat,Don't think will vote,Trayon White,Robert White,Muriel Bowser,(VOL) DK/No Opinion,Trayon White,Robert White,Muriel Bowser,Muriel Bowser,Muriel Bowser,2,4,1,3,Unfavorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Not enough,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Support,Yes,D.C. suburbs,Would move to D.C. Suburbs,Housing affordability,Somewhat difficult,Difficult NET,Dislike it,Dislike NET,the Commanders,Oppose,Favor,Oppose,Southeast,West,Post graduate, ,some college +,college degree,post-graduate degree,36, ,Age 30-39,Other race,other,100 thousand or more,150 to under 200 thousand,15, ,"Yes, has a home telephone",Dual Service,female,Female,English,TX,Virtual Call Center,.5808957,All adults,Non-white,Age 18-39,18-49,College,$50K+,$100K+,Income $75K+,$100K-$200K,Nonwhite women,Black college, Black $50K+,6,No kids at home,20210214,10-19 years,Ward 5/6
200936,29242-1001,NON-DC AREA CELL PHONE,20220210,9th night,13,2108,17.7865,2,White Hispanic,Male,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,Wrong track,wrong track NET,City services,Approve STRONGLY,approve NET,Q4D-Q4F, , , ,2,3,1, , , , , , ,Good job,Excellent/Good job NET,Excellent job,Excellent/Good job NET,Good job,Excellent/Good job NET,"Yes, registered",Democrat,Absolutely certain to vote,Robert White,Trayon White,Muriel Bowser,Muriel Bowser, , , , ,Muriel Bowser,4,3,2,1,Favorable,Don't know enough to say,Unfavorable,Don't know enough to say,Right amount,Oppose,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,"Would reduce crime, A LOT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,Very difficult,Difficult NET,Like it,Like NET,the Redskins,Oppose,Favor,Oppose,Southeast,East,Graduated high school, ,graduated high school,no college degree,high school or less,58, ,Age 50-64,Other race,other,35 to under 50 thousand, ,16, ,"No, no home telephone",Cell Only,male,Male,English,TX,Virtual Call Center,.5365173,All adults,Non-white,Age 40-64,50+,Non-college,<$50K,<$50K,Income <$75K,<$50K,Nonwhite men,Black non-college,Black <$50K,8,No kids at home,20210214,10-19 years,Ward 7/8
200977,29242-1001,NON-DC AREA CELL PHONE,20220209,8th night,13,1927,12.2331,3,White,Male,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,Right direction,right direction NET,Economy/economic development,Approve STRONGLY,approve NET,Q4A-Q4C,3,1,2, , , ,(VOL) DK/No Opinion,DK/No opinion,Not-so-good job,Not-so-good/poor job NET,Excellent job,Excellent/Good job NET, , , , , , ,"Yes, registered",Democrat,Absolutely certain to vote,Robert White,Trayon White,Muriel Bowser,Muriel Bowser, , , , ,Muriel Bowser,4,2,3,1,Favorable,(VOL) DK/No Opinion,(VOL) DK/No Opinion,(VOL) DK/No Opinion,Right amount,Support,Yes,Not so good,Not-so-good/poor  NET,Yes,D.C. public schools, ,Public,Good,Excellent/Good job NET,Good,Excellent/Good job NET,provide both in-person and online instruction and allow parents to choose,require all students to attend school in person,require all students to attend school in person,(VOL) DK/No Opinion,DK/No opinion,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,1,3,(VOL) DK/No Opinion,DK/No opinion, , ,"Would reduce crime, A LOT",Would reduce crime NET,Would not reduce crime,Would not reduce crime,Support,No, ,Would not move, ,Very difficult,Difficult NET,Dislike it,Dislike NET,the Commanders,Oppose,Favor,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,48, ,Age 40-49,White,white,100 thousand or more,250 thousand or more,0, ,"No, no home telephone",Cell Only,male,Male,English,TX,Virtual Call Center,.3919502,All adults,White,Age 40-64,18-49,College,$50K+,$100K+,Income $75K+,$200K+,White men,White college,White $50K+,3,Have children in public school,20210214,4 years or less,Ward 2/3
201004,29242-1001,NON-DC AREA CELL PHONE,20220205,4th night,13,1748,11.8046333333333,4,White Hispanic,Female,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,Right direction,right direction NET,No opinion,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,3,1,2, , , , , , ,Not-so-good job,Not-so-good/poor job NET,(VOL) DK/No Opinion,DK/No opinion,Good job,Excellent/Good job NET,"No, not registered", , , , , , , , , , , ,3,2,1,4,Favorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,Very difficult,Difficult NET,Dislike it,Dislike NET,the Washington Football Team,Favor,Oppose,Favor,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,28, ,Age 18-29,White,white,100 thousand or more,100 to under 150 thousand,4, ,"No, no home telephone",Cell Only,male,Male,English,TX,Virtual Call Center,1.9634112,All adults,White,Age 18-39,18-49,College,$50K+,$100K+,Income $75K+,$100K-$200K,White men,White college,White $50K+,98,No kids at home,20210214,4 years or less, 
201036,29242-1001,NON-DC AREA CELL PHONE,20220209,8th night,13,1608,13.95765,1,White Hispanic,Female,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1a,Wrong track, ,wrong track NET,Education/improving schools,Disapprove SOMEWHAT,disapprove NET,Q4D-Q4F, , , ,2,3,1, , , , , , ,(VOL) DK/No Opinion,DK/No opinion,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,"No, not registered", , , , , , , , , , , ,4,3,2,1,Unfavorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Support,Yes,Not so good,Not-so-good/poor  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,Would not reduce crime,Would not reduce crime,Would not reduce crime,Would not reduce crime, , , , ,Support,Yes,Outside the D.C. area,Would move outside D.C. area,Something else? (SPECIFY),Somewhat difficult,Difficult NET,Hate it,Dislike NET,the Washington Football Team,Oppose,Favor,Oppose,Northwest, ,Graduated college,Bachelors degree,some college +,college degree,college degree,34, ,Age 30-39,Other race,other,100 thousand or more,250 thousand or more,4, ,"No, no home telephone",Cell Only,female,Female,English,TX,Virtual Call Center,.7565064,All adults,Non-white,Age 18-39,18-49,College,$50K+,$100K+,Income $75K+,$200K+,Nonwhite women,Black college, Black $50K+,98,No kids at home,20210214,4 years or less, 
201094,29242-1001,NON-DC AREA CELL PHONE,20220202,1st night,13,1653,16.2391166666667,1,White Hispanic,Female,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,Wrong track,wrong track NET,Jobs/creating more employment opportunites,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,1,2,3, , , , , , ,Good job,Excellent/Good job NET,Poor job,Not-so-good/poor job NET,Good job,Excellent/Good job NET,"Yes, registered",Democrat,Absolutely certain to vote,Trayon White,Muriel Bowser,Robert White,Muriel Bowser, , , , ,Muriel Bowser,4,3,2,1,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Not enough,Support,Yes,Not so good,Not-so-good/poor  NET,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,1,3,Would not reduce crime,Would not reduce crime, , ,"Would reduce crime, A LOT",Would reduce crime NET,Would not reduce crime,Would not reduce crime,Oppose,No, ,Would not move, ,Somewhat difficult,Difficult NET,Hate it,Dislike NET,the Washington Football Team,Oppose,Favor,Favor,Northwest, ,Graduated college,Bachelors degree,some college +,college degree,college degree,27, ,Age 18-29,Black,black,75 to under 100 thousand, ,2, ,"No, no home telephone",Cell Only,male,Male,English,TX,Virtual Call Center,1.5350571,All adults,Non-white,Age 18-39,18-49,College,$50K+,$50-$100K,Income $75K+,$50-$100K,Nonwhite men,Black college, Black $50K+,1,No kids at home,20210214,4 years or less,Ward 1/4
201112,29242-1001,NON-DC AREA CELL PHONE,20220208,7th night,13,1615,12.09905,3,White Hispanic,Female,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,Right direction,right direction NET,Housing costs/low-income housing/more affordable housing,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,1,3,2, , , , , , ,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,"Yes, registered",Independent, , , , , , , , , , ,4,3,1,2,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Support,Yes,Good,Excellent/Good  NET,Yes,D.C. public schools, ,Public,Excellent,Excellent/Good job NET,Good,Excellent/Good job NET,provide both in-person and online instruction and allow parents to choose,require all students to attend school in person,provide both in-person and online instruction and allow parents to choose,Not so good,Not-so-good/poor  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,3,1,Would not reduce crime,Would not reduce crime, , ,(VOL) DK/No Opinion,DK/No opinion,Would not reduce crime,Would not reduce crime,Support,No, ,Would not move, ,Somewhat easy,Easy NET,Dislike it,Dislike NET,the Commanders,Favor,Oppose,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,45, ,Age 40-49,Asian,Asian,100 thousand or more,250 thousand or more,15, ,"No, no home telephone",Cell Only,male,Male,English,TX,Virtual Call Center,.2214091,All adults,Non-white,Age 40-64,18-49,College,$50K+,$100K+,Income $75K+,$200K+,Nonwhite men,Black college, Black $50K+,3,Have children in public school,20210214,10-19 years,Ward 2/3
201130,29242-1001,NON-DC AREA CELL PHONE,20220208,7th night,13,1738,11.0021166666667,1,White,Male,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1a,Wrong track, ,wrong track NET,Crime/violence/guns,Disapprove SOMEWHAT,disapprove NET,Q4D-Q4F, , , ,2,1,3, , , , , , ,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,"Yes, registered",Independent, , , , , , , , , , ,1,2,3,4,Unfavorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Too many,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,Somewhat easy,Easy NET,Like it,Like NET,the Commanders,Favor,Oppose,Favor,Southeast,West,Graduated college,Bachelors degree,some college +,college degree,college degree,32, ,Age 30-39,White,white,100 thousand or more,200 to under 250 thousand,10, ,"No, no home telephone",Cell Only,male,Male,English,NY,Virtual Call Center,.8245298,All adults,White,Age 18-39,18-49,College,$50K+,$100K+,Income $75K+,$200K+,White men,White college,White $50K+,98,No kids at home,20210214,10-19 years,Ward 5/6
201142,29242-1001,NON-DC AREA CELL PHONE,20220202,1st night,13,1911,13.5458666666667,1,Other race,Female,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1a,(VOL)  DK/No Opinion, ,DK/No opinion,Drugs/marijuana,Disapprove SOMEWHAT,disapprove NET,Q4A-Q4C,3,2,1, , , ,Not-so-good job,Not-so-good/poor job NET,(VOL) DK/No Opinion,DK/No opinion,Excellent job,Excellent/Good job NET, , , , , , ,"Yes, registered",Democrat,Absolutely certain to vote,Trayon White,Robert White,Muriel Bowser,Trayon White, , , , ,Trayon White,1,2,4,3,Unfavorable,Don't know enough to say,Don't know enough to say,Unfavorable,Too many,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,"Yes, SOMEONE ELSE IN HOUSEHOLD",Household member victim of violent crime in past 5 years NET,Q20B-Q20C ASKED,2,1, , ,Would not reduce crime,Would not reduce crime,(VOL) DK/No Opinion,DK/No opinion, , , , ,Support,No, ,Would not move, ,Somewhat difficult,Difficult NET,Like it,Like NET,the Commanders,Favor,Oppose,Favor,Northwest, ,"Some college (ASK IF TECHNICAL SCHOOL; IF YES, PUNCH CODE 3, FOR HIGH SCHOOL)", ,some college +,no college degree,some college,29, ,Age 18-29,White,white,75 to under 100 thousand, ,11, ,"No, no home telephone",Cell Only,male,Male,English,TX,Virtual Call Center,3.2177038,All adults,White,Age 18-39,18-49,Non-college,$50K+,$50-$100K,Income $75K+,$50-$100K,White men,White non-college,White $50K+,5,No kids at home,20210214,10-19 years,Ward 5/6
201169,29242-1001,NON-DC AREA CELL PHONE,20220209,8th night,13,1625,14.6163833333333,2,White Hispanic,Female,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,(VOL)  DK/No Opinion,DK/No opinion,Crime/violence/guns,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,2,1,3, , , , , , ,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET,Not-so-good job,Not-so-good/poor job NET,"No, not registered", , , , , , , , , , , ,3,4,1,2,Favorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,1, ,2,3,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, A LOT",Would reduce crime NET,Support,No, ,Would not move, ,Somewhat easy,Easy NET,(VOL) DK/No Opinion,DK/No opinion,the Commanders,Oppose,Favor,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,65, ,Age 65+,White,white,100 thousand or more,100 to under 150 thousand,7, ,"Yes, has a home telephone",Dual Service,male,Male,English,TX,Virtual Call Center,.5068481,All adults,White,Age 65+,50+,College,$50K+,$100K+,Income $75K+,$100K-$200K,White men,White college,White $50K+,1,No kids at home,20210214,5-9 years,Ward 1/4
201187,29242-1001,NON-DC AREA CELL PHONE,20220214,13th night,13,1557,12.1923333333333,2,White,Female,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1a,Right direction, ,right direction NET,Crime/violence/guns,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,1,3,2, , , , , , ,Not-so-good job,Not-so-good/poor job NET,(VOL) DK/No Opinion,DK/No opinion,Good job,Excellent/Good job NET,"Yes, registered",Independent, , , , , , , , , , ,4,2,1,3,Unfavorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Too many,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,3,1,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , ,"Would reduce crime, A LOT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,Support,No, ,Would not move, ,Somewhat difficult,Difficult NET,Like it,Like NET,the Commanders,Oppose,Favor,Favor,Southeast,West,Graduated college,Bachelors degree,some college +,college degree,college degree,33, ,Age 30-39,White,white,100 thousand or more,200 to under 250 thousand,5, ,"No, no home telephone",Cell Only,male,Male,English,TX,Virtual Call Center,.8295413,All adults,White,Age 18-39,18-49,College,$50K+,$100K+,Income $75K+,$200K+,White men,White college,White $50K+,8,No kids at home,20210214,5-9 years,Ward 7/8
201274,29242-1001,NON-DC AREA CELL PHONE,20220211,10th night,13,1736,12.5736166666667,2,White,Male,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1b, ,Right direction,right direction NET,The coronavirus pandemic,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,1,3,2, , , , , , ,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,Not-so-good job,Not-so-good/poor job NET,"No, not registered", , , , , , , , , , , ,1,2,3,4,Favorable,Don't know enough to say,Don't know enough to say,Favorable,Too many,Support,Yes,Not so good,Not-so-good/poor  NET,Yes,D.C. public schools, ,Public,Not-so-good,Not-so-good/poor job NET,Not-so-good,Not-so-good/poor job NET,provide both in-person and online instruction and allow parents to choose,require all students to attend school in person,require all students to attend school in person,Excellent,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, A LOT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,Somewhat easy,Easy NET,Like it,Like NET,the Commanders,Oppose,Favor,Favor,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,45, ,Age 40-49,White,white,100 thousand or more,250 thousand or more,17, ,"Yes, has a home telephone",Dual Service,female,Female,English,NY,Virtual Call Center,.5365101,All adults,White,Age 40-64,18-49,College,$50K+,$100K+,Income $75K+,$200K+,White women,White college,White $50K+,3,Have children in public school,20210214,10-19 years,Ward 2/3
201290,29242-1001,NON-DC AREA CELL PHONE,20220203,2nd night,13,1709,14.8832,1,White Hispanic,Male,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1a,Right direction, ,right direction NET,Crime/violence/guns,Disapprove STRONGLY,disapprove NET,Q4A-Q4C,3,1,2, , , ,Poor job,Not-so-good/poor job NET,Poor job,Not-so-good/poor job NET,Good job,Excellent/Good job NET, , , , , , ,"Yes, registered",Democrat,Absolutely certain to vote,Robert White,Muriel Bowser,Trayon White,Robert White, , , , ,Robert White,2,1,3,4,Unfavorable,Favorable,Unfavorable,Favorable,Right amount,Support,Yes,Good,Excellent/Good  NET,Yes,Charter public schools, ,Charter,Excellent,Excellent/Good job NET,Good,Excellent/Good job NET,provide both in-person and online instruction and allow parents to choose,require all students to attend school in person,require all students to attend school in person,Not so good,Not-so-good/poor  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,3,1,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,Would not reduce crime,Would not reduce crime,Support,No, ,Would not move, ,Somewhat easy,Easy NET,Dislike it,Dislike NET,the Commanders,Oppose,Favor,Oppose,Southeast,East,Graduated college,Bachelors degree,some college +,college degree,college degree,35, ,Age 30-39,White,white,100 thousand or more,150 to under 200 thousand,12, ,"No, no home telephone",Cell Only,male,Male,English,TX,Virtual Call Center,.8295413,All adults,White,Age 18-39,18-49,College,$50K+,$100K+,Income $75K+,$100K-$200K,White men,White college,White $50K+,7,Have children in charter school,20210214,10-19 years,Ward 7/8
201330,29242-1001,NON-DC AREA CELL PHONE,20220213,12th night,13,1756,16.1692,3,Other race,Female,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Female,Q1a,Wrong track, ,wrong track NET,Traffic/road quality/parking problems/infrastructure,Approve STRONGLY,approve NET,Q4D-Q4F, , , ,2,1,3, , , , , , ,Excellent job,Excellent/Good job NET,Good job,Excellent/Good job NET,Excellent job,Excellent/Good job NET,"Yes, registered",Democrat,Very likely to vote,Muriel Bowser,Robert White,Trayon White,Trayon White, , , , ,Trayon White,4,3,1,2,Favorable,Favorable,Don't know enough to say,Favorable,Not enough,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,"Would reduce crime, A LOT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,Somewhat easy,Easy NET,Like it,Like NET,the Washington Football Team,Oppose,Favor,Favor,Northeast,West,Graduated high school, ,graduated high school,no college degree,high school or less,67, ,Age 65+,Black,black,35 to under 50 thousand, ,whole life, ,"No, no home telephone",Cell Only,female,Female,English,TX,Virtual Call Center,.2610138,All adults,Non-white,Age 65+,50+,Non-college,<$50K,<$50K,Income <$75K,<$50K,Nonwhite women,Black non-college,Black <$50K,4,No kids at home,20210214,20+ years,Ward 1/4
201341,29242-1001,NON-DC AREA CELL PHONE,20220211,10th night,13,2018,13.6311666666667,3,White,Male,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,Right direction,right direction NET,Poverty/homelessness,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,1,2,3, , , , , , ,Not-so-good job,Not-so-good/poor job NET,Excellent job,Excellent/Good job NET,Excellent job,Excellent/Good job NET,"Yes, registered",Independent, , , , , , , , , , ,1,2,3,4,Favorable,Favorable,Don't know enough to say,Favorable,Right amount,Support,Yes,Excellent,Excellent/Good  NET,Yes,Charter public schools, ,Charter,Excellent,Excellent/Good job NET,Excellent,Excellent/Good job NET,require all students to attend school in person,provide both in-person and online instruction and allow parents to choose,require all students to attend school in person,Excellent,Excellent/Good  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,1, ,3,2,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, A LOT",Would reduce crime NET,Support,No, ,Would not move, ,Somewhat difficult,Difficult NET,Like it,Like NET,the Commanders,Oppose,Favor,Favor,Northeast,East,Graduated high school, ,graduated high school,no college degree,high school or less,32, ,Age 30-39,Black,black,75 to under 100 thousand, ,12, ,"No, no home telephone",Cell Only,male,Male,English,NY,Virtual Call Center,.9689744,All adults,Non-white,Age 18-39,18-49,Non-college,$50K+,$50-$100K,Income $75K+,$50-$100K,Nonwhite men,Black non-college, Black $50K+,7,Have children in charter school,20210214,10-19 years,Ward 7/8
201391,29242-1001,NON-DC AREA CELL PHONE,20220208,7th night,13,2051,31.4820666666667,1,Black,Female,3,Wash DC, ,"No, respondent is not driving/doing something","Yes, 18+",Yes,Male,Q1b, ,Wrong track,wrong track NET,Economy/economic development,Disapprove STRONGLY,disapprove NET,Q4D-Q4F, , , ,1,2,3, , , , , , ,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,Poor job,Not-so-good/poor job NET,"Yes, registered",Republican, , , , , , , , , , ,2,3,1,4,Unfavorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Support,Yes,Not so good,Not-so-good/poor  NET,Yes,Charter public schools, ,Charter,Excellent,Excellent/Good job NET,Good,Excellent/Good job NET,provide both in-person and online instruction and allow parents to choose,require all students to attend school in person,require all students to attend school in person,Poor,Not-so-good/poor  NET,No too safe,not too/not safe at all NET,No,Not victim of violent crime,Q20D-Q20E ASKED,3, ,2,1,"Would reduce crime, A LOT",Would reduce crime NET, , ,"Would reduce crime, A LOT",Would reduce crime NET,(VOL) DK/No Opinion,DK/No opinion,Support,Yes,D.C. suburbs,Would move to D.C. Suburbs,Family reasons,Very difficult,Difficult NET,Love it,Like NET,the Commanders,Oppose,Favor,Oppose,Northeast,East,Graduated college,Bachelors degree,some college +,college degree,college degree,36, ,Age 30-39,Black,black,50 to under 75 thousand, ,8, ,"Yes, has a home telephone",Dual Service,male,Male,English,NY,Virtual Call Center,.7446019,All adults,Non-white,Age 18-39,18-49,College,$50K+,$50-$100K,Income <$75K,$50-$100K,Nonwhite men,Black college, Black $50K+,5,Have children in charter school,20210214,5-9 years,Ward 5/6
